IdRodada,IdPartida,InicialDoTime,Treinador,Titular,NomeJogador,Posicao
201,1096,FRA,CAUDRON Raoul (FRA),S,Alex THEPOT,GK
201,1096,MEX,LUQUE Juan (MEX),S,Oscar BONFIGLIO,GK
201,1096,FRA,CAUDRON Raoul (FRA),S,Marcel LANGILLER,
201,1096,MEX,LUQUE Juan (MEX),S,Juan CARRENO,
201,1096,FRA,CAUDRON Raoul (FRA),S,Ernest LIBERATI,
201,1096,MEX,LUQUE Juan (MEX),S,Rafael GARZA,C
201,1096,FRA,CAUDRON Raoul (FRA),S,Andre MASCHINOT,
201,1096,MEX,LUQUE Juan (MEX),S,Hilario LOPEZ,
201,1096,FRA,CAUDRON Raoul (FRA),S,Etienne MATTLER,
201,1096,MEX,LUQUE Juan (MEX),S,Dionisio MEJIA,
201,1096,FRA,CAUDRON Raoul (FRA),S,Marcel PINEL,
201,1096,MEX,LUQUE Juan (MEX),S,Felipe ROSAS,
201,1096,FRA,CAUDRON Raoul (FRA),S,Alex VILLAPLANE,C
201,1096,MEX,LUQUE Juan (MEX),S,Manuel ROSAS,
201,1096,FRA,CAUDRON Raoul (FRA),S,Lucien LAURENT,
201,1096,MEX,LUQUE Juan (MEX),S,Jose RUIZ,
201,1096,FRA,CAUDRON Raoul (FRA),S,Marcel CAPELLE,
201,1096,MEX,LUQUE Juan (MEX),S,Alfredo SANCHEZ,
201,1096,FRA,CAUDRON Raoul (FRA),S,Augustin CHANTREL,
201,1096,MEX,LUQUE Juan (MEX),S,Efrain AMEZCUA,
201,1096,FRA,CAUDRON Raoul (FRA),S,Edmond DELFOUR,
201,1096,MEX,LUQUE Juan (MEX),S,Luis PEREZ,
201,1096,FRA,CAUDRON Raoul (FRA),N,Celestin DELMER,
201,1096,MEX,LUQUE Juan (MEX),N,Isidoro SOTA,
201,1096,FRA,CAUDRON Raoul (FRA),N,Andre TASSIN,
201,1096,MEX,LUQUE Juan (MEX),N,Jesus CASTRO,
201,1096,FRA,CAUDRON Raoul (FRA),N,Nouma ANDOIRE,
201,1096,MEX,LUQUE Juan (MEX),N,Felipe OLIVARES,
201,1096,FRA,CAUDRON Raoul (FRA),N,Jean LAURENT,
201,1096,MEX,LUQUE Juan (MEX),N,Raimundo RODRIGUEZ,
201,1096,FRA,CAUDRON Raoul (FRA),N,Emile VEINANTE,
201,1096,MEX,LUQUE Juan (MEX),N,Roberto GAYON,
201,1096,MEX,LUQUE Juan (MEX),N,Francisco GARZA GUTIERREZ,
201,1090,USA,MILLAR Bob (USA),S,Jimmy DOUGLAS,GK
201,1090,BEL,GOETINCK Hector (BEL),S,Arnold BADJOU,GK
201,1090,USA,MILLAR Bob (USA),S,Tom FLORIE,C
201,1090,BEL,GOETINCK Hector (BEL),S,Jean DE CLERQ,
201,1090,USA,MILLAR Bob (USA),S,Jimmy GALLAGHER,
201,1090,BEL,GOETINCK Hector (BEL),S,Jan DIDDENS,
201,1090,USA,MILLAR Bob (USA),S,Billy GONSALVES,
201,1090,BEL,GOETINCK Hector (BEL),S,Auguste HELLEMANS,
201,1090,USA,MILLAR Bob (USA),S,Bart McGHEE,
201,1090,BEL,GOETINCK Hector (BEL),S,Nikolaas HOYDONCKX,
201,1090,USA,MILLAR Bob (USA),S,George MOORHOUSE,
201,1090,BEL,GOETINCK Hector (BEL),S,Jacques MOESCHAL,
201,1090,USA,MILLAR Bob (USA),S,Bert PATENAUDE,
201,1090,BEL,GOETINCK Hector (BEL),S,Theodore NOUWENS,
201,1090,USA,MILLAR Bob (USA),S,Ralph TRACY,
201,1090,BEL,GOETINCK Hector (BEL),S,Fernand ADAMS,
201,1090,USA,MILLAR Bob (USA),S,Alexander WOOD,
201,1090,BEL,GOETINCK Hector (BEL),S,Louis VERSYP,
201,1090,USA,MILLAR Bob (USA),S,Andrew AULD,
201,1090,BEL,GOETINCK Hector (BEL),S,Bernard VOORHOOF,
201,1090,USA,MILLAR Bob (USA),S,Jim BROWN,
201,1090,BEL,GOETINCK Hector (BEL),S,Pierre BRAINE,C
201,1090,USA,MILLAR Bob (USA),N,Frank VAUGHN,
201,1090,BEL,GOETINCK Hector (BEL),N,Alexis CHANTRAINE,
201,1090,USA,MILLAR Bob (USA),N,Mike BOOKIE,
201,1090,BEL,GOETINCK Hector (BEL),N,Jean DE BIE,
201,1090,USA,MILLAR Bob (USA),N,Jim GENTLE,
201,1090,BEL,GOETINCK Hector (BEL),N,Andre SAEYS,
201,1090,USA,MILLAR Bob (USA),N,Phil SLONE,
201,1090,BEL,GOETINCK Hector (BEL),N,Henri DE DEKEN,
201,1090,USA,MILLAR Bob (USA),N,Arnie OLIVER,
201,1090,BEL,GOETINCK Hector (BEL),N,Gerard DELBEKE,
201,1093,YUG,SIMONOVIC Bosko (YUG),S,Milovan JAKSIC,GK
201,1093,BRA,DE CARVALHO Pindaro (BRA),S,JOEL,GK
201,1093,YUG,SIMONOVIC Bosko (YUG),S,Blagoje MARJANOVIC,
201,1093,BRA,DE CARVALHO Pindaro (BRA),S,TEOPHILO,
201,1093,YUG,SIMONOVIC Bosko (YUG),S,Dragan MIHAJLOVIC,
201,1093,BRA,DE CARVALHO Pindaro (BRA),S,POLY,
201,1093,YUG,SIMONOVIC Bosko (YUG),S,Milorad ARSENIJEVIC,
201,1093,BRA,DE CARVALHO Pindaro (BRA),S,FAUSTO,
201,1093,YUG,SIMONOVIC Bosko (YUG),S,Ivica BEK,
201,1093,BRA,DE CARVALHO Pindaro (BRA),S,PREGUINHO,C
201,1093,YUG,SIMONOVIC Bosko (YUG),S,Momcilo DJOKIC,
201,1093,BRA,DE CARVALHO Pindaro (BRA),S,NILO,
201,1093,YUG,SIMONOVIC Bosko (YUG),S,Milutin IVKOVIC,C
201,1093,BRA,DE CARVALHO Pindaro (BRA),S,BRILHANTE,
201,1093,YUG,SIMONOVIC Bosko (YUG),S,Djordje VUJADINOVIC,
201,1093,BRA,DE CARVALHO Pindaro (BRA),S,ARAKEN,
201,1093,YUG,SIMONOVIC Bosko (YUG),S,Aleksandar TIRNANIC,
201,1093,BRA,DE CARVALHO Pindaro (BRA),S,HERMOGENES,
201,1093,YUG,SIMONOVIC Bosko (YUG),S,Branislav SEKULIC,
201,1093,BRA,DE CARVALHO Pindaro (BRA),S,ITALIA,
201,1093,YUG,SIMONOVIC Bosko (YUG),S,Ljubisa STEFANOVIC,
201,1093,BRA,DE CARVALHO Pindaro (BRA),S,FERNANDO GIUDICELLI,
201,1093,YUG,SIMONOVIC Bosko (YUG),N,Dragan TOSIC,
201,1093,BRA,DE CARVALHO Pindaro (BRA),N,CARVALHO LEITE,
201,1093,YUG,SIMONOVIC Bosko (YUG),N,Milan STOJANOVIC,
201,1093,BRA,DE CARVALHO Pindaro (BRA),N,BENEDICTO,
201,1093,YUG,SIMONOVIC Bosko (YUG),N,Teofilo SPASOJEVIC,
201,1093,BRA,DE CARVALHO Pindaro (BRA),N,OSCARINO,
201,1093,YUG,SIMONOVIC Bosko (YUG),N,Branislav HRNJICEK,
201,1093,BRA,DE CARVALHO Pindaro (BRA),N,BENVENUTTO,
201,1093,YUG,SIMONOVIC Bosko (YUG),N,Vlastimir PETKOVIC,
201,1093,BRA,DE CARVALHO Pindaro (BRA),N,DOCA,
201,1093,YUG,SIMONOVIC Bosko (YUG),N,Dragutin NAJDANOVIC,
201,1093,BRA,DE CARVALHO Pindaro (BRA),N,PAMPLONA,
201,1093,BRA,DE CARVALHO Pindaro (BRA),N,FORTES,
201,1093,BRA,DE CARVALHO Pindaro (BRA),N,MANOELZINHO,
201,1093,BRA,DE CARVALHO Pindaro (BRA),N,IVAN MARIZ,
201,1093,BRA,DE CARVALHO Pindaro (BRA),N,MODERATO,
